zone,sample_id,nitrogen,phosphorus,potassium,ph,ec,moisture,temperature,status,imbalance_type,timestamp
D,S_D_222,83.45,-8.93,26.75,8.5,1.84,76.09,41.5,Unstable,Potassium Imbalance (Low),1777684051
C,S_C_254,25.75,-36.65,40.68,5.77,-457.62,2.49,9.9,Unstable,Phosphorus Imbalance (Low),1777568851
E,S_E_746,31.88,4.66,96.0,8.01,1606.39,88.9,16.6,Unstable,Nitrogen Imbalance (Low),1775797651
C,S_C_347,54.77,8.81,41.4,4.94,507.25,-4.42,24.4,Unstable,Phosphorus Imbalance (Low),1777234051
C,S_C_459,22.77,8.18,44.03,4.07,687.63,68.57,36.0,Unstable,Acidic Trend,1776830851
A,S_A_997,54.09,16.95,60.78,6.46,457.41,46.67,29.5,Stable,Stable / Optimal,1774894051
A,S_A_229,35.78,33.37,38.81,6.85,353.85,51.71,27.7,Unstable,Potassium Imbalance (Low),1777658851
C,S_C_865,91.3,30.56,29.42,3.5,-20.06,-1.76,37.1,Unstable,High Salinity Trend,1775369251
E,S_E_029,36.21,31.36,65.89,7.46,696.09,28.84,22.5,Unstable,Acidic Trend,1778378851
D,S_D_343,27.53,28.33,-20.56,5.32,838.61,28.74,37.6,Unstable,Acidic Trend,1777248451
E,S_E_660,58.38,44.29,75.57,4.61,933.61,55.33,22.2,Unstable,Acidic Trend,1776107251
D,S_D_233,33.28,28.09,50.01,7.62,965.5,61.64,20.5,Unstable,Variable Stability,1777644451
B,S_B_453,22.82,2.03,74.66,5.38,331.61,49.73,26.8,Unstable,Acidic Trend,1776852451
A,S_A_080,30.73,24.68,95.59,6.48,605.09,41.13,30.7,Unstable,Variable Stability,1778195251
A,S_A_965,13.07,25.84,87.92,6.13,426.55,68.49,23.0,Unstable,Nitrogen Imbalance (Low),1775009251
A,S_A_927,67.5,20.23,57.45,6.31,-58.81,42.9,31.0,Stable,Variable Stability,1775146051
A,S_A_795,64.22,31.87,56.25,5.61,553.25,78.45,30.0,Unstable,Variable Stability,1775621251
C,S_C_980,-42.71,9.66,20.9,5.04,-698.27,9.14,29.0,Unstable,Acidic Trend,1774955251
C,S_C_765,-20.17,8.65,72.05,4.78,-1109.06,16.34,44.0,Unstable,Acidic Trend,1775729251
D,S_D_1058,14.49,35.88,140.89,5.77,1913.24,65.71,37.0,Unstable,Nitrogen Imbalance (Low),1774674451
C,S_C_912,32.71,-8.27,64.92,3.5,-1.43,47.65,23.1,Unstable,Phosphorus Imbalance (Low),1775200051
D,S_D_335,35.52,4.01,91.36,4.16,812.84,62.89,30.1,Unstable,Acidic Trend,1777277251
A,S_A_1075,36.5,34.02,78.02,4.92,538.99,48.67,30.5,Unstable,Acidic Trend,1774613251
E,S_E_041,49.18,27.86,18.03,7.6,690.91,95.58,23.0,Unstable,Potassium Imbalance (Low),1778335651
D,S_D_584,68.97,0.55,24.06,8.5,903.31,63.82,45.6,Unstable,Potassium Imbalance (Low),1776380851
B,S_B_825,40.29,18.6,52.53,4.9,762.43,32.73,26.4,Unstable,Nitrogen Imbalance (Low),1775513251
E,S_E_878,71.03,39.74,88.13,8.5,1020.76,66.36,20.7,Unstable,Phosphorus Imbalance (Low),1775322451
D,S_D_1035,47.3,19.55,58.98,6.12,435.12,52.37,27.7,Stable,Stable / Optimal,1774757251
B,S_B_546,52.53,35.13,94.09,6.96,150.49,43.28,26.5,Unstable,Variable Stability,1776517651
C,S_C_744,2.7,15.92,38.33,3.5,117.17,53.71,36.4,Unstable,Acidic Trend,1775804851
C,S_C_864,65.23,-10.33,39.4,3.5,1057.08,18.84,50.0,Stable,Phosphorus Imbalance (Low),1775372851
C,S_C_722,34.12,31.6,13.27,6.25,-181.59,16.51,30.8,Unstable,Potassium Imbalance (Low),1775884051
B,S_B_252,48.38,19.3,48.4,7.01,501.45,52.93,34.4,Unstable,High Salinity Trend,1777576051
A,S_A_440,47.87,26.38,55.62,6.83,232.14,74.29,29.9,Unstable,High Salinity Trend,1776899251
C,S_C_917,39.46,-14.06,11.76,5.72,-963.41,58.56,21.2,Stable,Stable / Optimal,1775182051
D,S_D_944,64.8,8.15,94.42,6.88,1362.41,21.14,38.0,Unstable,Phosphorus Imbalance (Low),1775084851
C,S_C_582,-29.67,0.23,49.84,5.45,619.56,15.61,32.4,Unstable,Nitrogen Imbalance (Low),1776388051
B,S_B_881,27.94,33.45,63.6,6.66,468.51,45.87,28.8,Unstable,Nitrogen Imbalance (Low),1775311651
D,S_D_421,37.75,60.72,55.02,4.33,1705.38,5.6,37.7,Unstable,Acidic Trend,1776967651
B,S_B_255,48.07,6.92,37.06,6.89,586.71,33.72,25.5,Unstable,Potassium Imbalance (Low),1777565251
A,S_A_255,36.57,21.4,35.29,6.11,794.3,49.26,30.1,Unstable,Potassium Imbalance (Low),1777565251
A,S_A_466,53.13,12.78,44.16,7.35,544.96,42.47,23.0,Unstable,Phosphorus Imbalance (Low),1776805651
B,S_B_918,82.99,31.9,42.16,6.06,732.65,41.38,21.0,Stable,Variable Stability,1775178451
A,S_A_507,45.28,37.44,56.68,6.82,528.55,38.37,25.1,Unstable,Variable Stability,1776658051
D,S_D_672,56.19,57.8,86.52,7.15,1969.8,91.17,25.3,Unstable,High Salinity Trend,1776064051
D,S_D_689,52.28,21.48,16.28,4.95,1460.77,41.41,33.0,Unstable,Potassium Imbalance (Low),1776002851
D,S_D_614,121.02,45.65,68.39,6.35,514.09,104.08,8.0,Stable,Stable / Optimal,1776272851
A,S_A_234,48.69,16.26,81.14,6.1,913.8,53.5,29.6,Unstable,Variable Stability,1777640851
A,S_A_554,31.76,31.16,76.98,6.55,818.78,39.56,28.9,Unstable,Variable Stability,1776488851
E,S_E_515,65.76,25.69,15.99,6.98,438.32,69.3,21.0,Unstable,Potassium Imbalance (Low),1776629251
A,S_A_545,19.96,15.45,59.78,6.1,549.79,49.86,31.0,Unstable,Nitrogen Imbalance (Low),1776521251
D,S_D_101,80.63,-5.08,54.5,7.17,861.72,77.82,13.9,Unstable,Phosphorus Imbalance (Low),1778119651
C,S_C_1141,10.31,49.5,-18.27,3.52,-937.02,59.7,34.4,Unstable,Phosphorus Imbalance (Low),1774375651
C,S_C_389,13.92,6.56,40.29,5.49,619.72,27.58,27.2,Unstable,Acidic Trend,1777082851
C,S_C_465,55.93,21.71,44.33,5.58,-1275.07,15.64,30.9,Unstable,Phosphorus Imbalance (Low),1776809251
B,S_B_884,52.99,22.99,60.11,5.13,20.54,46.49,27.7,Unstable,Acidic Trend,1775300851
E,S_E_743,85.77,-10.46,33.68,5.71,1154.82,51.93,26.7,Unstable,Potassium Imbalance (Low),1775808451
A,S_A_309,36.9,31.58,45.89,6.49,786.01,64.81,23.8,Stable,Variable Stability,1777370851
A,S_A_711,48.15,27.73,55.69,7.47,1191.01,34.39,25.2,Stable,Stable / Optimal,1775923651
D,S_D_504,-7.0,29.5,72.35,5.79,741.31,68.7,53.0,Unstable,Nitrogen Imbalance (Low),1776668851
B,S_B_381,43.94,26.19,56.42,6.27,343.18,66.44,25.0,Stable,Stable / Optimal,1777111651
B,S_B_111,43.26,25.05,56.18,5.16,398.61,50.28,18.7,Unstable,Potassium Imbalance (Low),1778083651
A,S_A_626,29.66,14.48,65.44,6.15,700.73,45.07,24.2,Stable,Stable / Optimal,1776229651
A,S_A_024,1.2,30.89,79.36,5.74,507.44,46.32,29.6,Unstable,High Salinity Trend,1778396851
C,S_C_132,65.84,13.34,32.55,4.67,723.8,21.21,33.3,Unstable,Acidic Trend,1778008051
B,S_B_671,25.15,33.45,41.03,6.8,454.14,56.39,28.1,Unstable,Nitrogen Imbalance (Low),1776067651
E,S_E_311,55.22,40.32,28.3,7.53,38.49,103.55,2.7,Unstable,Potassium Imbalance (Low),1777363651
C,S_C_1089,47.24,24.7,30.38,4.49,1224.43,22.95,29.6,Unstable,High Salinity Trend,1774562851
A,S_A_1171,56.31,18.25,31.37,6.38,704.96,57.05,19.0,Unstable,Potassium Imbalance (Low),1774267651
D,S_D_1146,10.04,30.9,65.78,6.57,2114.83,140.74,36.3,Stable,Nitrogen Imbalance (Low),1774357651
B,S_B_919,40.05,27.25,71.54,6.25,267.67,33.54,28.7,Stable,Acidic Trend,1775174851
C,S_C_619,35.63,8.4,-16.48,5.39,-124.54,34.05,18.5,Unstable,Nitrogen Imbalance (Low),1776254851
A,S_A_1195,53.37,22.32,58.83,6.58,830.58,34.99,30.9,Stable,Stable / Optimal,1774181251
B,S_B_1046,28.65,11.11,49.0,6.19,658.86,40.11,23.3,Unstable,Nitrogen Imbalance (Low),1774717651
C,S_C_474,42.13,26.74,15.48,3.5,383.94,11.1,30.4,Unstable,Acidic Trend,1776776851
E,S_E_840,65.1,58.13,93.33,7.69,3.69,49.99,14.6,Unstable,Variable Stability,1775459251
C,S_C_150,-33.31,11.19,74.09,7.0,-703.32,8.56,18.7,Unstable,Nitrogen Imbalance (Low),1777943251
C,S_C_755,25.78,11.71,48.03,3.5,72.42,64.23,31.1,Stable,Acidic Trend,1775765251
A,S_A_094,36.05,10.13,47.98,6.74,315.82,61.02,24.2,Unstable,High Salinity Trend,1778144851
B,S_B_878,56.34,5.16,74.93,6.58,527.11,32.7,25.8,Stable,Phosphorus Imbalance (Low),1775322451
A,S_A_470,41.56,12.65,42.13,7.72,882.29,61.81,29.1,Unstable,Phosphorus Imbalance (Low),1776791251
A,S_A_788,60.83,36.07,78.35,6.5,842.8,52.47,30.7,Unstable,Variable Stability,1775646451
B,S_B_500,53.45,21.11,52.84,6.44,257.7,43.04,21.6,Stable,Stable / Optimal,1776683251
B,S_B_638,44.26,25.44,73.12,5.44,636.64,75.6,28.9,Stable,Stable / Optimal,1776186451
C,S_C_664,3.46,40.73,34.28,4.54,255.04,-21.44,23.0,Unstable,Acidic Trend,1776092851
B,S_B_507,59.24,28.91,58.15,6.91,648.22,43.96,26.6,Stable,Stable / Optimal,1776658051
D,S_D_368,42.4,53.12,111.2,6.63,-892.23,119.63,32.4,Unstable,Variable Stability,1777158451
D,S_D_263,17.19,5.09,128.74,5.68,291.22,67.36,15.4,Unstable,Nitrogen Imbalance (Low),1777536451
D,S_D_065,54.53,53.24,128.42,6.96,454.37,99.7,25.3,Unstable,Variable Stability,1778249251
E,S_E_1092,58.99,-22.4,4.38,6.16,2153.91,83.45,23.8,Stable,Stable / Optimal,1774552051
C,S_C_805,-39.37,19.14,69.86,3.5,826.59,3.13,24.7,Unstable,Nitrogen Imbalance (Low),1775585251
A,S_A_605,37.78,22.71,68.04,6.61,411.99,41.31,29.6,Unstable,Phosphorus Imbalance (Low),1776305251
E,S_E_143,40.67,50.34,139.05,7.19,1101.91,37.33,47.5,Stable,Potassium Imbalance (Low),1777968451
B,S_B_351,12.25,23.52,88.0,6.2,832.0,69.43,28.4,Stable,Nitrogen Imbalance (Low),1777219651
D,S_D_1109,50.01,-11.09,23.35,7.31,-654.48,57.15,20.5,Unstable,Potassium Imbalance (Low),1774490851
E,S_E_035,39.94,37.51,28.24,6.94,-321.54,76.35,46.8,Unstable,Nitrogen Imbalance (Low),1778357251
C,S_C_786,32.69,8.83,95.29,4.36,-357.69,6.17,31.7,Stable,Stable / Optimal,1775653651
D,S_D_787,20.33,9.29,63.52,4.74,838.36,97.92,24.9,Unstable,Stable / Optimal,1775650051
B,S_B_387,46.14,30.85,41.43,6.73,636.31,35.65,22.2,Unstable,Variable Stability,1777090051
C,S_C_720,77.39,-11.36,-6.03,3.5,128.8,-9.43,20.2,Unstable,Acidic Trend,1775891251
C,S_C_1000,-15.39,5.85,38.52,3.5,-999.97,21.1,27.7,Unstable,Acidic Trend,1774883251
A,S_A_402,51.5,35.81,48.49,6.12,456.41,58.87,25.9,Stable,Variable Stability,1777036051
A,S_A_032,54.15,26.61,28.63,6.22,703.71,69.12,23.1,Stable,Potassium Imbalance (Low),1778368051
B,S_B_284,54.45,42.12,49.42,5.98,273.48,49.28,27.5,Stable,Nitrogen Imbalance (Low),1777460851
C,S_C_281,51.88,-13.63,33.02,4.29,56.83,52.67,37.8,Unstable,Acidic Trend,1777471651
A,S_A_600,65.34,32.58,69.0,6.05,-369.93,58.45,24.6,Unstable,Nitrogen Imbalance (Low),1776323251
C,S_C_750,43.15,19.98,23.13,4.17,-295.9,21.35,30.1,Unstable,Acidic Trend,1775783251
E,S_E_745,41.8,37.61,36.14,7.58,602.7,59.11,21.1,Unstable,Potassium Imbalance (Low),1775801251
B,S_B_661,45.09,9.9,106.12,6.67,882.23,60.13,32.3,Unstable,Variable Stability,1776103651
A,S_A_566,40.98,18.66,46.78,6.98,479.54,37.85,31.2,Stable,Stable / Optimal,1776445651
B,S_B_1014,45.42,16.35,71.35,5.79,348.07,43.89,28.4,Stable,Stable / Optimal,1774832851
B,S_B_767,43.99,18.1,44.6,5.78,746.17,48.86,17.1,Unstable,Stable / Optimal,1775722051
A,S_A_866,46.23,28.22,64.77,6.89,-243.85,66.58,27.3,Stable,Stable / Optimal,1775365651
D,S_D_1008,59.77,38.28,28.71,3.94,950.43,63.39,15.6,Unstable,Acidic Trend,1774854451
C,S_C_051,-27.37,1.43,82.98,3.5,1085.61,10.81,17.2,Unstable,Acidic Trend,1778299651
E,S_E_893,36.85,19.53,105.86,7.64,-640.46,71.15,40.8,Unstable,Variable Stability,1775268451
A,S_A_813,59.85,25.37,62.96,5.58,178.82,66.03,29.4,Unstable,Potassium Imbalance (Low),1775556451
B,S_B_278,44.14,24.62,65.3,6.53,899.79,44.59,34.3,Unstable,Stable / Optimal,1777482451
D,S_D_1135,117.07,48.99,45.94,5.41,-1135.61,90.97,28.7,Unstable,High Salinity Trend,1774397251
B,S_B_1072,23.37,21.11,48.56,6.83,152.83,62.75,28.6,Unstable,Acidic Trend,1774624051
A,S_A_1039,40.16,32.62,50.5,6.31,659.11,64.25,27.0,Unstable,Variable Stability,1774742851
D,S_D_927,25.13,31.8,82.53,6.59,1297.66,19.06,39.1,Unstable,Nitrogen Imbalance (Low),1775146051
A,S_A_081,49.19,23.8,71.04,6.49,758.54,58.32,33.6,Stable,Stable / Optimal,1778191651
B,S_B_005,26.92,21.6,64.54,5.8,671.37,69.02,23.2,Unstable,Nitrogen Imbalance (Low),1778465251
C,S_C_886,-19.6,35.97,0.72,4.81,33.48,4.02,34.5,Unstable,Acidic Trend,1775293651
B,S_B_346,30.41,19.64,53.01,6.27,985.58,32.44,28.4,Stable,Stable / Optimal,1777237651
A,S_A_178,16.04,16.56,54.71,6.0,268.51,52.84,35.2,Unstable,Nitrogen Imbalance (Low),1777842451
C,S_C_186,25.8,4.0,-13.2,5.86,365.45,-13.97,35.9,Unstable,Nitrogen Imbalance (Low),1777813651
E,S_E_1193,73.17,21.86,118.99,6.27,154.63,68.87,52.1,Stable,Variable Stability,1774188451
E,S_E_064,69.13,17.64,64.53,4.1,489.59,77.95,39.8,Unstable,Acidic Trend,1778252851
B,S_B_239,30.69,22.41,54.4,5.8,643.43,62.26,23.7,Unstable,Nitrogen Imbalance (Low),1777622851
A,S_A_297,18.88,18.35,17.98,7.06,810.2,52.82,25.1,Unstable,Nitrogen Imbalance (Low),1777414051
D,S_D_016,46.66,24.84,51.27,5.3,-649.38,67.79,44.9,Unstable,Acidic Trend,1778425651
D,S_D_048,27.45,28.13,131.63,3.5,1097.54,107.35,38.1,Unstable,Acidic Trend,1778310451
A,S_A_158,45.56,26.52,19.98,5.83,315.14,43.07,33.3,Unstable,Potassium Imbalance (Low),1777914451
A,S_A_1028,49.42,34.6,70.75,5.87,286.86,50.42,30.5,Unstable,High Salinity Trend,1774782451
A,S_A_411,38.52,22.85,66.82,5.6,993.14,47.55,24.8,Unstable,High Salinity Trend,1777003651
D,S_D_359,54.86,16.38,60.38,7.71,-453.43,107.51,28.8,Stable,Variable Stability,1777190851
E,S_E_1138,49.94,28.57,108.48,5.81,-493.08,39.2,32.7,Unstable,Variable Stability,1774386451
E,S_E_157,-6.63,-1.1,47.13,6.28,1323.19,26.47,24.9,Unstable,Nitrogen Imbalance (Low),1777918051
D,S_D_1157,34.77,-8.34,39.75,6.84,1339.93,31.91,24.9,Unstable,Potassium Imbalance (Low),1774318051
E,S_E_648,-12.82,68.64,45.23,8.38,297.11,65.79,9.9,Unstable,Nitrogen Imbalance (Low),1776150451
B,S_B_982,69.01,26.45,84.95,7.08,414.86,35.67,24.3,Unstable,Variable Stability,1774948051
E,S_E_1009,70.75,-1.56,157.59,6.23,905.43,71.45,44.6,Unstable,Phosphorus Imbalance (Low),1774850851
A,S_A_811,30.7,29.48,77.91,6.03,260.44,36.29,34.1,Stable,Stable / Optimal,1775563651
E,S_E_116,57.84,3.24,48.2,4.33,389.16,62.45,24.0,Stable,Nitrogen Imbalance (Low),1778065651
E,S_E_154,34.45,38.64,57.12,5.08,596.9,71.39,26.7,Unstable,Phosphorus Imbalance (Low),1777928851
D,S_D_134,85.12,26.64,135.3,8.43,1999.09,78.05,11.6,Stable,Nitrogen Imbalance (Low),1778000851
E,S_E_364,85.61,6.05,102.8,7.48,1183.48,62.02,29.4,Unstable,Phosphorus Imbalance (Low),1777172851
C,S_C_578,50.14,5.83,8.33,4.49,1251.94,9.08,37.6,Stable,Variable Stability,1776402451
D,S_D_196,74.99,47.41,40.31,6.79,969.91,50.07,42.5,Stable,Potassium Imbalance (Low),1777777651
B,S_B_969,14.69,44.51,63.24,5.22,472.54,75.13,26.1,Unstable,Acidic Trend,1774994851
C,S_C_678,-31.71,-21.16,-7.88,4.84,-190.49,11.57,36.3,Unstable,Acidic Trend,1776042451
B,S_B_495,34.01,14.3,35.3,5.81,181.51,62.72,27.8,Unstable,Acidic Trend,1776701251
A,S_A_1025,42.73,31.76,98.71,7.13,-4.83,68.74,29.6,Unstable,Variable Stability,1774793251
D,S_D_347,16.66,21.2,71.87,6.38,361.05,67.37,25.5,Stable,Variable Stability,1777234051
B,S_B_925,67.57,21.59,63.33,6.11,826.3,55.66,31.1,Stable,Variable Stability,1775153251
E,S_E_495,37.69,-11.91,20.19,6.08,951.62,87.6,23.1,Unstable,Potassium Imbalance (Low),1776701251
C,S_C_305,-4.64,32.99,35.37,6.11,877.72,5.09,13.6,Unstable,Nitrogen Imbalance (Low),1777385251
A,S_A_1034,7.46,31.08,57.74,6.11,802.22,64.25,28.2,Unstable,Nitrogen Imbalance (Low),1774760851
E,S_E_1072,27.99,9.19,40.65,8.5,1888.18,53.6,38.5,Unstable,Nitrogen Imbalance (Low),1774624051
E,S_E_565,40.31,20.94,34.36,6.57,2856.91,113.4,14.3,Unstable,Potassium Imbalance (Low),1776449251
D,S_D_560,93.65,47.49,173.44,7.17,632.9,53.57,19.2,Unstable,Phosphorus Imbalance (Low),1776467251
B,S_B_501,73.04,28.53,71.4,7.58,153.34,63.23,34.2,Unstable,Variable Stability,1776679651
C,S_C_514,-12.88,28.78,60.33,6.71,289.9,55.61,42.5,Unstable,Nitrogen Imbalance (Low),1776632851
E,S_E_079,42.32,19.13,107.15,6.47,-345.73,55.3,26.9,Unstable,Potassium Imbalance (Low),1778198851
C,S_C_921,-42.77,37.68,-5.43,4.19,-1204.38,25.47,34.5,Unstable,Acidic Trend,1775167651
E,S_E_227,18.31,34.24,61.53,4.61,898.02,13.04,21.9,Unstable,Acidic Trend,1777666051
C,S_C_183,4.26,-20.28,18.6,5.7,84.43,16.49,15.5,Unstable,Nitrogen Imbalance (Low),1777824451
E,S_E_484,65.17,-3.24,25.96,5.87,953.99,53.1,13.5,Unstable,Potassium Imbalance (Low),1776740851
D,S_D_651,-22.86,3.05,61.8,5.64,1693.24,74.26,4.3,Stable,Acidic Trend,1776139651
A,S_A_1187,41.48,29.97,55.68,5.83,687.75,59.49,25.7,Unstable,Stable / Optimal,1774210051
D,S_D_138,53.73,47.18,19.54,5.72,-26.01,59.01,19.8,Unstable,Potassium Imbalance (Low),1777986451
A,S_A_784,61.16,43.34,56.13,7.16,384.12,49.8,25.6,Unstable,Variable Stability,1775660851
D,S_D_803,46.47,16.67,47.97,8.5,593.43,90.37,16.8,Unstable,Variable Stability,1775592451
A,S_A_051,19.12,41.04,49.66,5.91,729.84,34.96,20.6,Unstable,Nitrogen Imbalance (Low),1778299651
A,S_A_713,44.71,25.98,82.19,6.97,647.35,56.72,22.4,Unstable,Variable Stability,1775916451
B,S_B_1107,53.85,45.54,83.57,5.1,908.19,66.22,31.5,Unstable,Acidic Trend,1774498051
D,S_D_268,48.65,30.43,6.04,5.28,1083.4,71.46,31.0,Unstable,Acidic Trend,1777518451
C,S_C_047,2.02,27.47,53.85,3.5,571.51,3.57,31.6,Unstable,Variable Stability,1778314051
B,S_B_1041,12.99,22.22,14.13,6.59,-104.43,44.77,33.7,Stable,Nitrogen Imbalance (Low),1774735651
D,S_D_1004,84.01,49.76,80.91,5.61,1152.24,99.57,16.5,Unstable,Variable Stability,1774868851
D,S_D_1191,79.28,50.17,13.38,7.46,2227.95,0.44,27.2,Unstable,High Salinity Trend,1774195651
C,S_C_704,17.47,38.73,-4.28,3.5,87.67,39.71,22.0,Stable,Acidic Trend,1775948851
E,S_E_767,71.47,25.02,20.6,7.06,842.41,74.33,17.8,Stable,Stable / Optimal,1775722051
A,S_A_677,52.21,17.91,43.44,5.59,856.14,64.46,29.4,Stable,Potassium Imbalance (Low),1776046051
E,S_E_757,41.97,32.49,101.29,4.56,-156.57,39.88,39.3,Unstable,Acidic Trend,1775758051
D,S_D_040,42.13,9.95,-19.5,4.54,2001.19,83.38,21.7,Unstable,Potassium Imbalance (Low),1778339251
C,S_C_295,37.39,21.77,2.19,3.5,773.51,32.26,26.1,Unstable,Variable Stability,1777421251
C,S_C_596,28.57,31.18,25.62,3.55,-895.66,4.65,22.6,Unstable,Acidic Trend,1776337651
B,S_B_363,51.96,24.25,88.51,6.89,801.9,54.16,25.8,Unstable,Variable Stability,1777176451
D,S_D_050,40.79,68.18,108.29,5.52,145.54,90.29,35.6,Stable,Variable Stability,1778303251
C,S_C_066,7.09,27.33,37.11,4.0,1016.24,-3.18,38.0,Unstable,High Salinity Trend,1778245651
A,S_A_347,66.97,28.88,49.77,6.87,733.71,56.77,26.9,Unstable,Variable Stability,1777234051
B,S_B_297,46.8,34.17,51.73,5.78,538.0,54.49,31.9,Unstable,Variable Stability,1777414051
B,S_B_1145,34.67,21.63,27.17,6.76,872.78,51.73,31.5,Unstable,High Salinity Trend,1774361251
D,S_D_306,44.73,27.6,1.09,7.18,2738.19,71.06,31.1,Unstable,Potassium Imbalance (Low),1777381651
D,S_D_059,53.69,7.1,42.28,6.77,1192.64,82.8,36.1,Unstable,Phosphorus Imbalance (Low),1778270851
A,S_A_623,48.75,12.7,67.74,5.74,798.27,50.44,28.7,Unstable,Nitrogen Imbalance (Low),1776240451
D,S_D_497,55.89,21.69,2.93,6.44,1376.81,57.3,27.4,Unstable,Potassium Imbalance (Low),1776694051
B,S_B_201,35.41,24.96,56.45,5.62,662.76,63.82,20.0,Unstable,Acidic Trend,1777759651
C,S_C_898,-3.52,9.93,1.23,4.73,-494.24,11.12,17.9,Unstable,Nitrogen Imbalance (Low),1775250451
D,S_D_386,67.26,8.04,15.14,5.52,1089.78,59.92,29.2,Unstable,Potassium Imbalance (Low),1777093651
E,S_E_382,51.09,19.93,16.71,8.5,519.07,76.4,26.8,Unstable,Potassium Imbalance (Low),1777108051
D,S_D_1018,46.59,28.03,65.37,7.1,1310.99,44.02,38.0,Unstable,Variable Stability,1774818451
A,S_A_325,54.07,37.63,60.22,6.53,842.7,57.97,23.4,Unstable,Variable Stability,1777313251
C,S_C_598,52.41,-3.46,-12.0,3.5,-268.54,65.69,28.5,Unstable,Acidic Trend,1776330451
